44 946
9 23 5
9 24 6
9 25 7
9 26 6
9 27 6
9 28 4
9 29 5
9 30 6
9 31 7
9 32 8
9 33 8
9 34 7
9 35 5
9 36 5
9 37 8
9 38 8
9 39 7
9 40 5
9 41 4
9 42 6
9 43 7
10 11 2
10 12 3
10 13 4
10 14 5
10 15 4
10 16 2
10 17 1
10 18 3
10 19 5
10 20 3
10 21 4
10 22 7
10 23 3
10 24 4
10 25 5
10 26 7
10 27 8
10 28 6
10 29 5
10 30 4
10 31 5
10 32 6
10 33 7
10 34 8
10 35 7
10 36 5
10 37 6
10 38 7
10 39 8
10 40 7
10 41 4
10 42 4
10 43 5
11 12 1
11 13 2
11 14 4
11 15 5
11 16 4
11 17 3
11 18 1
11 19 3
11 20 5
11 21 2
11 22 6
11 23 5
11 24 4
11 25 3
11 26 5
11 27 7
11 28 8
11 29 7
11 30 6
11 31 5
11 32 4
11 33 5
11 34 6
11 35 8
11 36 7
11 37 4
11 38 5
11 39 6
11 40 6
11 41 6
11 42 4
11 43 3
12 13 1
12 14 3
12 15 4
12 16 5
12 17 4
12 18 2
12 19 2
12 20 6
12 21 3
12 22 5
12 23 6
12 24 5
12 25 4
12 26 4
12 27 6
12 28 8
12 29 8
12 30 7
12 31 6
12 32 5
12 33 4
12 34 5
12 35 7
12 36 8
12 37 5
12 38 4
12 39 5
12 40 5
12 41 7
12 42 5
12 43 4
13 14 2
13 15 3
13 16 5
13 17 5
13 18 3
13 19 1
13 20 6
13 21 4
13 22 4
13 23 7
13 24 6
13 25 5
13 26 3
13 27 5
13 28 7
13 29 8
13 30 8
13 31 7
13 32 6
13 33 5
13 34 4
13 35 6
13 36 8
13 37 6
13 38 5
13 39 4
13 40 4
13 41 7
13 42 6
13 43 5
14 15 1
14 16 3
14 17 4
14 18 3
14 19 1
14 20 4
14 21 4
14 22 2
14 23 6
14 24 6
14 25 5
14 26 3
14 27 3
14 28 5
14 29 6
14 30 7
14 31 7
14 32 6
14 33 5
14 34 4
14 35 5
14 36 7
14 37 7
14 38 6
14 39 5
14 40 4
14 41 7
14 42 8
14 43 7
15 16 2
15 17 3
15 18 4
15 19 2
15 20 3
15 21 5
15 22 3
15 23 5
15 24 6
15 25 6
15 26 4
15 27 4
15 28 4
15 29 5
15 30 6
15 31 7
15 32 7
15 33 6
15 34 5
15 35 4
15 36 6
15 37 8
15 38 7
15 39 6
15 40 5
15 41 6
15 42 8
15 43 8
16 17 1
16 18 3
16 19 4
16 20 1
16 21 4
16 22 5
16 23 3
16 24 4
16 25 5
16 26 6
16 27 6
16 28 4
16 29 3
16 30 4
16 31 5
16 32 6
16 33 7
16 34 7
16 35 6
16 36 4
16 37 7
16 38 8
16 39 8
16 40 7
16 41 4
16 42 6
16 43 7
17 18 2
17 19 4
17 20 2
17 21 3
17 22 6
17 23 2
17 24 3
17 25 4
17 26 6
17 27 7
17 28 5
17 29 4
17 30 3
17 31 4
17 32 5
17 33 6
17 34 7
17 35 7
17 36 5
17 37 6
17 38 7
17 39 8
17 40 8
17 41 5
17 42 5
17 43 6
18 19 2
18 20 4
18 21 1
18 22 5
18 23 4
18 24 3
18 25 2
18 26 4
18 27 6
18 28 7
18 29 6
18 30 5
18 31 4
18 32 3
18 33 4
18 34 5
18 35 8
18 36 7
18 37 4
18 38 5
18 39 6
18 40 7
18 41 7
18 42 5
18 43 4
19 20 5
19 21 3
19 22 3
19 23 6
19 24 5
19 25 4
19 26 2
19 27 4
19 28 6
19 29 7
19 30 7
19 31 6
19 32 5
19 33 4
19 34 3
19 35 6
19 36 8
19 37 6
19 38 5
19 39 4
19 40 5
19 41 8
19 42 7
19 43 6
20 21 3
20 22 4
20 23 2
20 24 3
20 25 4
20 26 5
20 27 5
20 28 3
20 29 2
20 30 3
20 31 4
20 32 5
20 33 6
20 34 6
20 35 5
20 36 3
20 37 6
20 38 7
20 39 7
20 40 7
20 41 4
20 42 6
20 43 7
21 22 4
21 23 3
21 24 2
21 25 1
21 26 3
21 27 5
21 28 6
21 29 5
21 30 4
21 31 3
21 32 2
21 33 3
21 34 4
21 35 7
21 36 6
21 37 3
21 38 4
21 39 5
21 40 7
21 41 7
21 42 5
21 43 4
22 23 4
22 24 4
22 25 3
22 26 1
22 27 1
22 28 3
22 29 4
22 30 5
22 31 5
22 32 4
22 33 3
22 34 2
22 35 3
22 36 5
22 37 5
22 38 4
22 39 3
22 40 3
22 41 6
22 42 7
22 43 6
23 24 1
23 25 2
23 26 4
23 27 5
23 28 3
23 29 2
23 30 1
23 31 2
23 32 3
23 33 4
23 34 5
23 35 5
23 36 3
23 37 4
23 38 5
23 39 6
23 40 7
23 41 4
23 42 4
23 43 5
24 25 1
24 26 3
24 27 5
24 28 4
24 29 3
24 30 2
24 31 1
24 32 2
24 33 3
24 34 4
24 35 6
24 36 4
24 37 3
24 38 4
24 39 5
24 40 7
24 41 5
24 42 3
24 43 4
25 26 2
25 27 4
25 28 5
25 29 4
25 30 3
25 31 2
25 32 1
25 33 2
25 34 3
25 35 6
25 36 5
25 37 2
25 38 3
25 39 4
25 40 6
25 41 6
25 42 4
25 43 3
26 27 2
26 28 4
26 29 5
26 30 5
26 31 4
26 32 3
26 33 2
26 34 1
26 35 4
26 36 6
26 37 4
26 38 3
26 39 2
26 40 4
26 41 7
26 42 6
26 43 5
27 28 2
27 29 3
27 30 4
27 31 4
27 32 3
27 33 2
27 34 1
27 35 2
27 36 4
27 37 4
27 38 3
27 39 2
27 40 2
27 41 5
27 42 6
27 43 5
28 29 1
28 30 2
28 31 3
28 32 4
28 33 4
28 34 3
28 35 2
28 36 2
28 37 5
28 38 5
28 39 4
28 40 4
28 41 3
28 42 5
28 43 6
29 30 1
29 31 2
29 32 3
29 33 4
29 34 4
29 35 3
29 36 1
29 37 4
29 38 5
29 39 5
29 40 5
29 41 2
29 42 4
29 43 5
30 31 1
30 32 2
30 33 3
30 34 4
30 35 4
30 36 2
30 37 3
30 38 4
30 39 5
30 40 6
30 41 3
30 42 3
30 43 4
31 32 1
31 33 2
31 34 3
31 35 5
31 36 3
31 37 2
31 38 3
31 39 4
31 40 6
31 41 4
31 42 2
31 43 3
32 33 1
32 34 2
32 35 5
32 36 4
32 37 1
32 38 2
32 39 3
32 40 5
32 41 5
32 42 3
32 43 2
33 34 1
33 35 4
33 36 5
33 37 2
33 38 1
33 39 2
33 40 4
33 41 6
33 42 4
33 43 3
34 35 3
34 36 5
34 37 3
34 38 2
34 39 1
34 40 3
34 41 6
34 42 5
34 43 4
35 36 2
35 37 4
35 38 3
35 39 2
35 40 2
35 41 3
35 42 5
35 43 5
36 37 3
36 38 4
36 39 4
36 40 4
36 41 1
36 42 3
36 43 4
37 38 1
37 39 2
37 40 4
37 41 4
37 42 2
37 43 1
38 39 1
38 40 3
38 41 5
38 42 3
38 43 2
39 40 2
39 41 5
39 42 4
39 43 3
40 41 3
40 42 4
40 43 3
41 42 2
41 43 3
42 43 1
